source,destination,demand_id,allowed_rate_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
8,1,0,0,384,0,1,1,1
2,3,1,0,215,0,1,1,1
6,7,2,0,212,0,1,1,1
9,2,3,0,197,0,1,1,1
8,10,4,0,160,0,1,1,1
1,7,5,0,160,0,1,1,1
1,4,6,0,144,0,1,1,1
0,6,7,0,138,0,1,1,1
2,4,8,0,124,0,0,0~,1
5,7,9,0,115,0,1,1,1
0,9,10,0,115,0,1,1,1
9,10,11,0,364,0,2,1.5,1
4,7,12,0,108,0,0,0~,1
3,4,13,0,105,0,0,0~,1
8,7,14,0,100,0,0,0~,1
10,2,15,0,99,0,0,0~,1
4,5,16,0,95,0,0,0~,1
1,2,17,0,278,0,1,1,1
10,1,18,0,266,0,1,1,1
8,9,19,0,263,0,1,1,1
0,8,20,0,258,0,1,1,1
8,6,21,0,247,0,1,1,1
1,5,22,0,237,0,1,1,1
1,3,23,0,237,0,1,1,1
