source,destination,demand_id,allowed_rate_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0,2,0,1,1,1
0,4,1,0,3,0,2,2,2
0,5,2,0,3,0,2,2,2
0,7,3,0,4,0,2,1.5,1
1,2,4,0,1,0,0,0~,1
4,5,5,0,2,0,1,1,1
4,6,6,0,2,0,0,0~,1
3,4,7,0,1,0,0,0~,1
3,9,8,0,1,0,0,0~,1
0,10,9,0,1,0,0,0~,1
10,5,10,0,3,0,1,1,1
10,6,11,0,2,0,1,1,1
0,6,12,0,1,0,0,0~,1
6,8,13,0,4,0,2,1.5,1
2,9,14,0,5,0,2,1.5,1
1,9,15,0,2,0,2,2,1
3,8,16,0,1,0,1,1,1
7,9,17,0,3,0,1,1,1
2,3,18,0,1,0,0,0~,2
2,6,19,0,3,0,2,2,2
10,8,20,0,5,0,2,1.5,1
6,7,21,0,3,0,3,1.66667,1
